ciudad,largo_total,num_atascos
Santiago,644465,969
Las Condes,481264,960
Providencia,424031,745
Maipú,393902,662
San Bernardo,325981,483
La Florida,280061,542
Quilicura,250219,385
Puente Alto,216072,443
Ñuñoa,207465,411
Pudahuel,203156,288
Lampa,200649,160
Vitacura,189132,385
Estación Central,141643,245
La Reina,128835,282
Huechuraba,126315,176
La Cisterna,125715,208
Peñalolén,119850,278
Colina,119643,175
Calera De Tango,116728,51
Recoleta,107830,213
Cerrillos,107804,141
Renca,101831,188
San Miguel,101777,187
Quinta Normal,95705,191
La Pintana,89579,139
Lo Espejo,77575,135
Padre Hurtado,74132,74
Talagante,72640,116
La Granja,65300,116
Chicureo,64013,81
El Bosque,63075,135
San Joaquín,62697,108
Malloco;Peñaflor,59997,131
Macul,58860,136
Conchalí,58435,191
Lo Barnechea,52248,114
San Ramón,46072,97
Cerro Navia,42571,108
Pedro Aguirre Cerda,37899,88
Rinconada De Maipú,36091,13
Independencia,33199,86
Pirque,31877,31
Peñaflor,29672,67
Lo Prado,28594,70
Batuco,23650,15
El Monte,23629,36
Nos;San Bernardo,12428,26
Loreto,8250,5
Lipangue,8203,5
Curacaví,7241,2
Valle Grande,7149,20
Liray,6925,11
Buin,4916,2
Santa Rosa De Chena,2880,6
Catemito;San Bernardo,2786,8
El Recurso,2588,2
El Tanguito,2303,2
Peralito,1866,4
Lo Herrera;San Bernardo,1451,4
Lonquén,1201,2
Las Vertientes,1050,3
El Trebal,1033,1
Chicauma,930,1
El Pimiento,711,1
La Esperanza,607,1
Las Vizcachas;Puente Alto,281,1
Piedra Roja,270,1
El Monte;Buin,267,1
Chamisero,232,1
city,,1
